quick,15000,10,0.0028959,377282,49556,25.1521,3.30373
quick,16000,10,0.0027777,418709,52959,26.1693,3.30994
quick,17000,10,0.0028711,450086,56610,26.4756,3.33
quick,18000,10,0.0031108,478584,60293,26.588,3.34961
quick,19000,10,0.0032526,494691,64182,26.0364,3.378
quick,20000,10,0.0034654,532322,67859,26.6161,3.39295
quick,1000,100,0.0001212,16922,2390,16.922,2.39
quick,2000,100,0.0002639,38275,5237,19.1375,2.6185
quick,3000,100,0.0005,62278,8246,20.7593,2.74867
quick,4000,100,0.0005774,86357,11385,21.5892,2.84625
quick,5000,100,0.0007876,112195,14598,22.439,2.9196
quick,6000,100,0.0009617,137228,17917,22.8713,2.98617
quick,7000,100,0.00109,165143,21228,23.5919,3.03257
quick,8000,100,0.0012419,191132,24622,23.8915,3.07775
quick,9000,100,0.0014714,219185,28017,24.3539,3.113
quick,10000,100,0.0016268,247666,31498,24.7666,3.1498
quick,11000,100,0.0017792,274690,35045,24.9718,3.18591
quick,12000,100,0.0020574,301129,38581,25.0941,3.21508
quick,13000,100,0.0021881,330632,42126,25.4332,3.24046
quick,14000,100,0.0023988,359853,45712,25.7038,3.26514
quick,15000,100,0.0025071,386521,49383,25.7681,3.2922
quick,16000,100,0.0027724,420713,52934,26.2946,3.30837
quick,17000,100,0.0028814,453251,56532,26.6618,3.32541
quick,18000,100,0.0039692,474141,60361,26.3412,3.35339
quick,19000,100,0.0035511,510341,63873,26.8601,3.36174
quick,20000,100,0.0035314,539077,67690,26.9538,3.3845
pivot,1000,1,7.7e-05,6078,3961,6.078,3.961
pivot,2000,1,0.0001522,12637,7350,6.3185,3.675
pivot,3000,1,0.0002392,22023,11315,7.341,3.77167
pivot,4000,1,0.0003455,31869,17973,7.96725,4.49325
pivot,5000,1,0.0004364,36759,23615,7.3518,4.723
pivot,6000,1,0.0005233,50182,25893,8.36367,4.3155
pivot,7000,1,0.0006253,58664,32152,8.38057,4.59314
pivot,8000,1,0.0006993,64620,34912,8.0775,4.364
pivot,9000,1,0.000841,75816,43267,8.424,4.80744
pivot,10000,1,0.0009513,83409,52588,8.3409,5.2588
pivot,11000,1,0.0010117,87038,50260,7.91255,4.56909
pivot,12000,1,0.0011163,104586,58401,8.7155,4.86675
pivot,13000,1,0.0012168,109471,61383,8.42085,4.72177
pivot,14000,1,0.0013023,117127,64048,8.36621,4.57486
pivot,15000,1,0.0014094,134586,70404,8.9724,4.6936
pivot,16000,1,0.001535,140374,76825,8.77337,4.80156
pivot,17000,1,0.0016283,148672,83528,8.74541,4.91341
pivot,18000,1,0.0017066,149299,83930,8.29439,4.66278
pivot,19000,1,0.0018897,168744,102668,8.88126,5.40358
pivot,20000,1,0.0019815,181173,101605,9.05865,5.08025
pivot,1000,10,0.0001036,5868,3969,5.868,3.969
pivot,2000,10,0.0001602,13331,8230,6.6655,4.115
pivot,3000,10,0.0002421,21074,12549,7.02467,4.183
pivot,4000,10,0.0003288,29734,17196,7.4335,4.299
pivot,5000,10,0.0004332,38332,22579,7.6664,4.5158
pivot,6000,10,0.0005179,45470,27282,7.57833,4.547
pivot,7000,10,0.0006314,55561,32201,7.93729,4.60014
pivot,8000,10,0.000706,65798,38795,8.22475,4.84938
pivot,9000,10,0.0008071,73513,42964,8.16811,4.77378
pivot,10000,10,0.0010662,83755,48217,8.3755,4.8217
pivot,11000,10,0.0010094,93380,54226,8.48909,4.92964
pivot,12000,10,0.0010873,102706,58673,8.55883,4.88942
pivot,13000,10,0.0011632,110739,63005,8.51838,4.84654
pivot,14000,10,0.0012772,121972,70478,8.71229,5.03414
pivot,15000,10,0.0014446,133010,76523,8.86733,5.10153
pivot,16000,10,0.0015315,141038,80831,8.81488,5.05194
pivot,17000,10,0.0015814,152177,87117,8.95159,5.12453
pivot,18000,10,0.0018225,160986,89374,8.94367,4.96522
pivot,19000,10,0.0017826,170703,96263,8.98437,5.06647
pivot,20000,10,0.0024486,185068,101449,9.2534,5.07245
pivot,1000,100,6.94e-05,5847,3660,5.847,3.66
pivot,2000,100,0.0001485,13030,8070,6.515,4.035
pivot,3000,100,0.0002377,20862,12640,6.954,4.21333
pivot,4000,100,0.0003365,29377,17427,7.34425,4.35675
pivot,5000,100,0.0005845,37603,22423,7.5206,4.4846
pivot,6000,100,0.0005535,46294,27535,7.71567,4.58917
pivot,7000,100,0.0008436,55879,32811,7.98271,4.68729
pivot,8000,100,0.0009466,64904,37840,8.113,4.73
pivot,9000,100,0.0008272,73374,42825,8.15267,4.75833
pivot,10000,100,0.0009456,83799,48436,8.3799,4.8436
pivot,11000,100,0.0009982,92085,53435,8.37136,4.85773
pivot,12000,100,0.001123,103182,59166,8.5985,4.9305
pivot,13000,100,0.0013708,112808,64845,8.67754,4.98808
pivot,14000,100,0.0013478,121632,69765,8.688,4.98321
pivot,15000,100,0.0016528,132212,76602,8.81413,5.1068
pivot,16000,100,0.0015577,143035,80841,8.93969,5.05256
pivot,17000,100,0.0016341,150522,85929,8.85424,5.05465
pivot,18000,100,0.0017407,161381,92001,8.96561,5.11117
pivot,19000,100,0.0018338,171007,97074,9.00037,5.10916
pivot,20000,100,0.0019923,181209,103727,9.06045,5.18635
merge_ins,1000,1,9.35e-05,8515,9387,8.515,9.387
merge_ins,2000,1,0.0002093,18915,20659,9.4575,10.3295
merge_ins,3000,1,0.0003168,30180,32740,10.06,10.9133
merge_ins,4000,1,0.0004266,41818,45306,10.4545,11.3265
merge_ins,5000,1,0.0005353,55338,59826,11.0676,11.9652
merge_ins,6000,1,0.0006816,66366,71486,11.061,11.9143
merge_ins,7000,1,0.00081,78294,84270,11.1849,12.0386
merge_ins,8000,1,0.0009229,91749,98725,11.4686,12.3406
merge_ins,9000,1,0.0010408,105394,113370,11.7104,12.5967
merge_ins,10000,1,0.0011748,120035,129011,12.0035,12.9011
merge_ins,11000,1,0.0012748,134818,144794,12.2562,13.1631
merge_ins,12000,1,0.0014686,144714,154954,12.0595,12.9128
merge_ins,13000,1,0.0016102,156806,167758,12.062,12.9045
merge_ins,14000,1,0.0018628,170740,182692,12.1957,13.0494
merge_ins,15000,1,0.0018617,185276,198228,12.3517,13.2152
merge_ins,16000,1,0.0019939,199481,213433,12.4676,13.3396
merge_ins,17000,1,0.0021571,214260,229212,12.6035,13.4831
merge_ins,18000,1,0.0023125,229240,245192,12.7356,13.6218
merge_ins,19000,1,0.0024001,244591,261543,12.8732,13.7654
merge_ins,20000,1,0.00264,260079,278031,13.0039,13.9016
merge_ins,1000,10,8.83e-05,8463,9335,8.463,9.335
merge_ins,2000,10,0.0001912,18959,20703,9.4795,10.3515
merge_ins,3000,10,0.0003689,30160,32720,10.0533,10.9067
merge_ins,4000,10,0.0004166,41890,45378,10.4725,11.3445
merge_ins,5000,10,0.0005212,55060,59548,11.012,11.9096
merge_ins,6000,10,0.0006627,66302,71422,11.0503,11.9037
merge_ins,7000,10,0.0007877,78363,84339,11.1947,12.0484
merge_ins,8000,10,0.0009005,91780,98756,11.4725,12.3445
merge_ins,9000,10,0.0010159,105620,113596,11.7356,12.6218
merge_ins,10000,10,0.0011937,120045,129021,12.0045,12.9021
merge_ins,11000,10,0.0013073,134937,144913,12.267,13.1739
merge_ins,12000,10,0.0014339,144661,154901,12.0551,12.9084
merge_ins,13000,10,0.0015779,156724,167676,12.0557,12.8982
merge_ins,14000,10,0.0016944,170684,182636,12.1917,13.0454
merge_ins,15000,10,0.0018144,185031,197983,12.3354,13.1989
merge_ins,16000,10,0.0019366,199542,213494,12.4714,13.3434
merge_ins,17000,10,0.0021152,214285,229237,12.605,13.4845
merge_ins,18000,10,0.0022473,229293,245245,12.7385,13.6247
merge_ins,19000,10,0.0025602,244460,261412,12.8663,13.7585
merge_ins,20000,10,0.0026378,260034,277986,13.0017,13.8993
merge_ins,1000,100,8.79e-05,8473,9345,8.473,9.345
merge_ins,2000,100,0.0001913,18951,20695,9.4755,10.3475
merge_ins,3000,100,0.0003222,30155,32715,10.0517,10.905
